2026-02-23 00:16:40,809 [BLOCK] No wallet key — monitor only
2026-02-23 00:16:40,937 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:16:40,938 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:16:46,196 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0x995d8bfc7a3ff0b1ae4591697337496551116be7)
2026-02-23 00:17:33,019 [BLOCK] Wallet: 0xdc118c4e1284e61e4d5277936a64B9E08Ad9e7EE
2026-02-23 00:17:33,021 [BLOCK] Block watcher thread started
2026-02-23 00:17:33,140 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:17:33,140 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:17:38,315 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0xb000c77a5f301dddd55effe89e0c0c08999fe885)
2026-02-23 00:41:02,764 [BLOCK] Block scan took 9.52s — too slow, reduce watched pairs
2026-02-23 00:41:13,451 [BLOCK] Block scan took 10.69s — too slow, reduce watched pairs
2026-02-23 00:41:22,453 [BLOCK] Block scan took 9.00s — too slow, reduce watched pairs
2026-02-23 00:41:33,240 [BLOCK] Block scan took 10.79s — too slow, reduce watched pairs
2026-02-23 00:41:42,650 [BLOCK] Block scan took 9.41s — too slow, reduce watched pairs
2026-02-23 00:41:53,384 [BLOCK] Block scan took 10.73s — too slow, reduce watched pairs
2026-02-23 00:42:02,580 [BLOCK] Block scan took 9.20s — too slow, reduce watched pairs
2026-02-23 00:42:13,366 [BLOCK] Block scan took 10.78s — too slow, reduce watched pairs
2026-02-23 00:42:22,565 [BLOCK] Block scan took 9.20s — too slow, reduce watched pairs
2026-02-23 00:42:33,397 [BLOCK] Block scan took 10.83s — too slow, reduce watched pairs
2026-02-23 00:42:42,575 [BLOCK] Block scan took 9.18s — too slow, reduce watched pairs
2026-02-23 00:42:53,297 [BLOCK] Block scan took 10.72s — too slow, reduce watched pairs
2026-02-23 00:43:03,071 [BLOCK] Block scan took 9.77s — too slow, reduce watched pairs
2026-02-23 00:43:12,706 [BLOCK] Block scan took 9.63s — too slow, reduce watched pairs
2026-02-23 00:43:23,450 [BLOCK] Block scan took 10.74s — too slow, reduce watched pairs
2026-02-23 00:43:32,725 [BLOCK] Block scan took 9.27s — too slow, reduce watched pairs
2026-02-23 00:43:43,443 [BLOCK] Block scan took 10.72s — too slow, reduce watched pairs
2026-02-23 00:43:52,583 [BLOCK] Block scan took 9.14s — too slow, reduce watched pairs
2026-02-23 00:44:03,365 [BLOCK] Block scan took 10.78s — too slow, reduce watched pairs
2026-02-23 00:44:12,653 [BLOCK] Block scan took 9.29s — too slow, reduce watched pairs
2026-02-23 00:44:23,405 [BLOCK] Block scan took 10.75s — too slow, reduce watched pairs
2026-02-23 00:44:32,721 [BLOCK] Block scan took 9.32s — too slow, reduce watched pairs
2026-02-23 00:44:43,550 [BLOCK] Block scan took 10.83s — too slow, reduce watched pairs
2026-02-23 00:44:52,756 [BLOCK] Block scan took 9.21s — too slow, reduce watched pairs
2026-02-23 00:45:02,817 [BLOCK] Block scan took 10.06s — too slow, reduce watched pairs
2026-02-23 00:45:12,889 [BLOCK] Block scan took 10.07s — too slow, reduce watched pairs
2026-02-23 00:45:23,132 [BLOCK] Block scan took 10.24s — too slow, reduce watched pairs
2026-02-23 00:45:33,092 [BLOCK] Block scan took 9.96s — too slow, reduce watched pairs
2026-02-23 00:45:43,026 [BLOCK] Block scan took 9.93s — too slow, reduce watched pairs
2026-02-23 00:45:52,916 [BLOCK] Block scan took 9.89s — too slow, reduce watched pairs
2026-02-23 00:46:02,890 [BLOCK] Block scan took 9.97s — too slow, reduce watched pairs
2026-02-23 00:46:12,869 [BLOCK] Block scan took 9.98s — too slow, reduce watched pairs
2026-02-23 00:46:22,472 [BLOCK] Block scan took 9.60s — too slow, reduce watched pairs
2026-02-23 00:46:32,715 [BLOCK] Block scan took 10.24s — too slow, reduce watched pairs
2026-02-23 00:46:42,939 [BLOCK] Block scan took 10.22s — too slow, reduce watched pairs
2026-02-23 00:46:52,994 [BLOCK] Block scan took 10.05s — too slow, reduce watched pairs
2026-02-23 00:47:02,864 [BLOCK] Block scan took 9.87s — too slow, reduce watched pairs
2026-02-23 00:47:12,702 [BLOCK] Block scan took 9.84s — too slow, reduce watched pairs
2026-02-23 00:47:23,258 [BLOCK] Block scan took 10.56s — too slow, reduce watched pairs
2026-02-23 00:47:23,339 [BLOCK] Block 42508800 | Watching 5 pairs
2026-02-23 00:47:33,064 [BLOCK] Block scan took 9.72s — too slow, reduce watched pairs
2026-02-23 00:47:42,981 [BLOCK] Block scan took 9.92s — too slow, reduce watched pairs
2026-02-23 00:47:52,876 [BLOCK] Block scan took 9.89s — too slow, reduce watched pairs
2026-02-23 00:48:02,698 [BLOCK] Block scan took 9.82s — too slow, reduce watched pairs
2026-02-23 00:48:02,700 [BLOCK] WS error: no close frame received or sent
2026-02-23 00:48:02,700 [BLOCK] Rotated WS to wss://base-mainnet.g.alchemy.com/v2/demo
2026-02-23 00:48:07,840 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:48:07,840 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:48:13,006 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0xedc2dc148adc2afa8d103332ac25295199e79133)
2026-02-23 00:48:20,709 [BLOCK] Block scan took 7.61s — too slow, reduce watched pairs
2026-02-23 00:48:31,582 [BLOCK] Block scan took 10.87s — too slow, reduce watched pairs
2026-02-23 00:48:40,463 [BLOCK] Block scan took 8.88s — too slow, reduce watched pairs
2026-02-23 00:48:51,518 [BLOCK] Block scan took 11.05s — too slow, reduce watched pairs
2026-02-23 00:49:00,596 [BLOCK] Block scan took 9.08s — too slow, reduce watched pairs
2026-02-23 00:49:11,445 [BLOCK] Block scan took 10.85s — too slow, reduce watched pairs
2026-02-23 00:49:20,696 [BLOCK] Block scan took 9.25s — too slow, reduce watched pairs
2026-02-23 00:49:30,514 [BLOCK] Block scan took 9.81s — too slow, reduce watched pairs
2026-02-23 00:49:40,786 [BLOCK] Block scan took 10.27s — too slow, reduce watched pairs
2026-02-23 00:49:50,777 [BLOCK] Block scan took 9.99s — too slow, reduce watched pairs
2026-02-23 00:50:00,609 [BLOCK] Block scan took 9.83s — too slow, reduce watched pairs
2026-02-23 00:50:10,425 [BLOCK] Block scan took 9.82s — too slow, reduce watched pairs
2026-02-23 00:50:21,234 [BLOCK] Block scan took 10.81s — too slow, reduce watched pairs
2026-02-23 00:50:30,702 [BLOCK] Block scan took 9.47s — too slow, reduce watched pairs
2026-02-23 00:50:40,572 [BLOCK] Block scan took 9.86s — too slow, reduce watched pairs
2026-02-23 00:50:51,328 [BLOCK] Block scan took 10.75s — too slow, reduce watched pairs
2026-02-23 00:51:01,017 [BLOCK] Block scan took 9.69s — too slow, reduce watched pairs
